item_name
Abyss Hammer
Albino Plate
Amber Staff
Ancient Amulet
Ancient Shield
Ankh
Assassin Dagger
Axe Ring
Bandana
Beastslayer Axe
Beetle Necklace
Berserker
Blacksteel Sword
Blessed Sceptre
Blue Robe
Bone Shield
Bonelord Helmet
Bonelord Shield
Boots of Haste
Bronze Amulet
Brutetamer's Staff
Butcher's Axe
Castle Shield
Chain Bolter
Club Ring
Cobra Crown
Coconut Shoes
Composite Hornbow
Cranial Basher
Crocodile Boots
Crown Armor
Crown Helmet
Crown Legs
Crown Shield
Crusader Helmet
Crystal Necklace
Crystal Ring
Daramian Mace
Daramian Waraxe
Dark Armor
Dark Helmet
Death Ring
Demon Shield
Demonbone Amulet
Demonrage Sword
Devil Helmet
Divine Plate
Djinn Blade
Doll
Dragon Lance
Dragon Necklace
Dragon Scale Mail
Dragon Shield
Dragonbone Staff
Dreaded Cleaver
Dwarven Armor
Dwarven Ring
Earth Knight Axe
Earth Spike Sword
Earth War Hammer
Elven Amulet
Elvish Bow
Emerald Bangle
Energy Knight Axe
Energy Ring
Energy Spike Sword
Energy War Hammer
Epee
Fiery Knight Axe
Fiery Spike Sword
Fiery War Hammer
Fire Sword
Flower Dress
Flower Wreath
Fur Boots
Furry Club
Garlic Necklace
Giant Sword
Glacial Rod
Glacier Amulet
Glacier Kilt
Gold Ring
Golden Armor
Goo Shell
Greater Garlic Necklace
Griffin Shield
Guardian Halberd
Hailstorm Rod
Hammer of Wrath
Haunted Blade
Headchopper
Heavy Mace
Helmet of the Lost
Heroic Axe
Hieroglyph Banner
Horn
Ice Rapier
Icy Knight Axe
Icy Spike Sword
Icy War Hammer
Jade Hammer
Knight Armor
Krimhorn Helmet
Lavos Armor
Leaf Legs
Leopard Armor
Leviathan's Amulet
Life Crystal
Life Ring
Light Shovel
Lightning Legs
Lightning Pendant
Lunar Staff
Magic Light Wand
Magic Plate Armor
Magma Amulet
Magma Legs
Mammoth Fur Cape
Mammoth Fur Shorts
Mastermind Shield
Medusa Shield
Might Ring
Mind Stone
Model Ship
Moonlight Rod
Muck Rod
Mycological Bow
Mysterious Fetish
Mystic Blade
Mystic Turban
Naginata
Necrotic Rod
Nightmare Blade
Noble Armor
Noble Axe
Norse Shield
Northwind Rod
Obsidian Lance
Onyx Flail
Onyx Pendant
Orb
Orcish Maul
Oriental Shoes
Ornamented Axe
Pair of Iron Fists
Paladin Armor
Patched Boots
Pharaoh Banner
Pharaoh Sword
Phoenix Shield
Pirate Boots
Pirate Hat
Pirate Knee Breeches
Pirate Shirt
Pirate Voodoo Doll
Platinum Amulet
Poison Dagger
Power Ring
Protection Amulet
Queen's Sceptre
Ragnir Helmet
Rift Bow
Rift Crossbow
Rift Lance
Rift Shield
Ring of Healing
Ring of the Sky
Royal Axe
Royal Helmet
Ruby Necklace
Ruthless Axe
Sacred Tree Amulet
Sapphire Hammer
Scarab Amulet
Scarab Shield
Serpent Sword
Shadow Sceptre
Shockwave Amulet
Silver Amulet
Silver Brooch
Silver Dagger
Skull Helmet
Skull Staff
Snakebite Rod
Spike Sword
Spiked Squelcher
Springsprout Rod
Stealth Ring
Steel Boots
Stone Skin Amulet
Strange Talisman
Swamplair Armor
Sword Ring
Tempest Shield
Terra Amulet
Terra Legs
Terra Rod
Thaian Sword
The Justice Seeker
Time Ring
Tortoise Shield
Tower Shield
Underworld Rod
Vampire Shield
Voodoo Doll
Wand of Cosmic Energy
Wand of Decay
Wand of Defiance
Wand of Draconia
Wand of Dragonbreath
Wand of Everblazing
Wand of Inferno
Wand of Starstorm
Wand of Voodoo
Wand of Vortex
War Hammer
War Horn
Warrior Helmet
Witch Hat
Wyvern Fang
Angelic Axe
Black Shield
Bonebreaker
Broadsword
Buckle
Chaos Mace
Crystal Crossbow
Crystalline Armor
Crystal Mace
Crystal Sword
Dark Shield
Diamond Sceptre
Dragon Hammer
Dragon Slayer
Fire Axe
Glacier Mask
Glacier Robe
Glacier Shoes
Glorious Axe
Golden Legs
Guardian Shield
Heavy Machete
Heavy Trident
Hibiscus Dress
Knight Axe
Knight Legs
Lightning Boots
Lightning Headband
Lightning Robe
Magma Boots
Magma Coat
Magma Monocle
Mammoth Whopper
Mercenary Sword
Relic Sword
Scimitar
Skullcracker Armor
Strange Helmet
Taurus Mace
Terra Boots
Terra Hood
Terra Mantle
Titan Axe
Vile Axe
War Axe
